year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip
2023.00,S3_S4,east,S3,2023-08-05_S3_S4_0f92146d,VWC_2_raw_S3_B,2,12.00,B,2023-08-05 08:51:00,2023-08-05 11:03:00,36600.00,18300.00,2.20,8318.18,24.64,33.71,9.07,29.27,flat_segment,2.65,2.65,9.90,7.70,10996.81,14546.53,3549.72,0.19,14750.28
2023.00,S3_S4,east,S3,2023-08-05_S3_S4_0f92146d,VWC_3_raw_S3_B,3,18.00,B,2023-08-05 08:51:00,2023-08-05 11:03:00,36600.00,18300.00,2.20,8318.18,16.05,28.30,12.25,21.92,fallback_window,2.65,2.65,6.65,4.45,10996.81,14546.53,3549.72,0.19,14750.28
2023.00,S3_S4,east,S3,2023-08-10_S3_S4_7fce3d7b,VWC_1_raw_S3_B,1,6.00,B,2023-08-10 13:57:00,2023-08-10 19:37:00,105700.00,52850.00,5.67,9326.47,19.77,35.10,15.33,31.03,flat_segment,6.30,6.30,15.30,9.63,11047.57,15670.65,4623.08,0.09,48226.92
2023.00,S3_S4,east,S3,2023-08-10_S3_S4_7fce3d7b,VWC_2_raw_S3_B,2,12.00,B,2023-08-10 13:57:00,2023-08-10 19:37:00,105700.00,52850.00,5.67,9326.47,24.90,33.82,8.93,30.79,flat_segment,6.30,6.30,14.05,8.38,11047.57,15670.65,4623.08,0.09,48226.92
2023.00,S3_S4,east,S3,2023-08-10_S3_S4_7fce3d7b,VWC_3_raw_S3_B,3,18.00,B,2023-08-10 13:57:00,2023-08-10 19:37:00,105700.00,52850.00,5.67,9326.47,16.38,28.45,12.07,24.76,fallback_window,6.05,6.05,10.05,4.38,11047.57,15670.65,4623.08,0.09,48226.92
2023.00,S3_S4,east,S3,2023-08-24_S3_S4_a4b6ae2a,VWC_1_raw_S3_B,1,6.00,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.00,30125.00,4.48,6719.33,11.05,34.34,23.29,30.60,flat_segment,4.97,4.97,14.97,10.48,6846.89,14673.03,7826.14,0.26,22298.86
2023.00,S3_S4,east,S3,2023-08-24_S3_S4_a4b6ae2a,VWC_2_raw_S3_B,2,12.00,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.00,30125.00,4.48,6719.33,13.06,31.94,18.88,28.51,flat_segment,5.22,5.22,11.97,7.48,6846.89,14673.03,7826.14,0.26,22298.86
2023.00,S3_S4,east,S3,2023-08-24_S3_S4_a4b6ae2a,VWC_3_raw_S3_B,3,18.00,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.00,30125.00,4.48,6719.33,13.72,26.76,13.04,21.97,fallback_window,4.97,4.97,8.97,4.48,6846.89,14673.03,7826.14,0.26,22298.86
2023.00,S3_S4,east,S3,2023-09-07_S3_S4_ea877a99,VWC_1_raw_S3_B,1,6.00,B,2023-09-07 07:38:00,2023-09-07 18:19:00,157700.00,78850.00,10.68,7380.66,11.53,33.86,22.32,33.75,flat_segment,6.87,6.87,7.12,-3.57,7045.05,15822.85,8777.79,0.11,70072.21
2023.00,S3_S4,east,S3,2023-09-07_S3_S4_ea877a99,VWC_2_raw_S3_B,2,12.00,B,2023-09-07 07:38:00,2023-09-07 18:19:00,157700.00,78850.00,10.68,7380.66,14.36,32.23,17.86,29.84,flat_segment,11.12,11.12,18.12,7.43,7045.05,15822.85,8777.79,0.11,70072.21
