year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,n_zones_with_valid_storage,complete_three_zone_coverage,n_zones_with_storage,estimated_storage_gal_strip_0_18in,water_balance_residual_gal_strip,storage_exceeds_applied_water,unretained_gal_strip,estimated_storage_fraction_0_18in,unretained_fraction,whole_strip_storage_estimate_available
2025,S3_S4,east,S3,2025-05-02_S3_S4_3cb33cbf,2025-05-02 19:10:02,2025-05-03 08:21:02,76750.00,13.18,5821.74,7021.63,8438.03,5113.97,3,True,3,20573.63,56176.37,False,56176.37,0.27,0.73,True
2025,S3_S4,east,S3,2025-05-28_S3_S4_120d46ab,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,5126.33,10099.66,9867.42,7599.60,3,True,3,27566.67,36683.33,False,36683.33,0.43,0.57,True
2025,S3_S4,east,S3,2025-06-13_S3_S4_29345c78,2025-06-13 10:49:00,2025-06-13 19:16:00,56900.00,8.45,6733.73,8592.89,9643.68,6136.90,3,True,3,24373.47,32526.53,False,32526.53,0.43,0.57,True
2025,S3_S4,east,S3,2025-06-28_S3_S4_d9252a87,2025-06-28 08:50:00,2025-06-28 16:15:00,43550.00,7.42,5871.91,7776.86,9316.93,6445.79,3,True,3,23539.58,20010.42,False,20010.42,0.54,0.46,True
2025,S3_S4,east,S3,2025-07-11_S3_S4_e179d57e,2025-07-11 08:30:00,2025-07-11 18:12:00,46400.00,9.70,4783.51,6686.77,7367.12,5966.21,3,True,3,20020.10,26379.90,False,26379.90,0.43,0.57,True
2025,S3_S4,east,S3,2025-07-26_S3_S4_b4053dcf,2025-07-26 08:45:00,2025-07-26 17:50:00,53225.00,9.08,5859.63,11060.46,8708.32,6617.84,3,True,3,26386.62,26838.38,False,26838.38,0.50,0.50,True
2025,S3_S4,east,S3,2025-08-08_S3_S4_7c793582,2025-08-08 13:14:00,2025-08-08 19:28:00,38750.00,6.23,6216.58,5620.71,7011.36,,2,False,2,,,False,,,,False
2025,S3_S4,east,S3,2025-08-22_S3_S4_1b405e4b,2025-08-22 09:07:00,2025-08-22 19:04:00,30625.00,9.95,3077.89,7197.42,8062.76,4191.20,3,True,3,19451.38,11173.62,False,11173.62,0.64,0.36,True
2025,S3_S4,east,S3,2025-09-20_S3_S4_f86ee2c5,2025-09-20 10:42:00,2025-09-20 17:31:00,86100.00,6.82,12630.81,6581.21,6106.69,6019.42,3,True,3,18707.32,67392.68,False,67392.68,0.22,0.78,True
2025,S3_S4,east,S3,2025-10-04_S3_S4_4439230e,2025-10-04 10:12:00,2025-10-04 17:06:00,51800.00,6.90,7507.25,6066.28,5502.56,,2,False,2,,,False,,,,False
2025,S3_S4,east,S4,2025-04-20_S3_S4_ead0e049,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,5954.99,8882.44,12617.54,11695.73,3,True,3,33195.71,99104.29,False,99104.29,0.25,0.75,True
2025,S3_S4,east,S4,2025-05-02_S3_S4_3cb33cbf,2025-05-02 19:10:02,2025-05-03 08:21:02,76750.00,13.18,5821.74,3972.08,6071.31,6903.24,3,True,3,16946.63,59803.37,False,59803.37,0.22,0.78,True
2025,S3_S4,east,S4,2025-05-28_S3_S4_120d46ab,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,5126.33,,7521.19,10269.62,2,False,2,,,False,,,,False
2025,S3_S4,east,S4,2025-06-13_S3_S4_29345c78,2025-06-13 10:49:00,2025-06-13 19:16:00,56900.00,8.45,6733.73,3892.02,7804.03,10473.58,3,True,3,22169.63,34730.37,False,34730.37,0.39,0.61,True
2025,S3_S4,east,S4,2025-06-28_S3_S4_d9252a87,2025-06-28 08:50:00,2025-06-28 16:15:00,43550.00,7.42,5871.91,2684.42,4488.93,10363.65,3,True,3,17537.00,26013.00,False,26013.00,0.40,0.60,True
2025,S3_S4,east,S4,2025-07-11_S3_S4_e179d57e,2025-07-11 08:30:00,2025-07-11 18:12:00,46400.00,9.70,4783.51,3113.20,7160.14,7577.33,3,True,3,17850.67,28549.33,False,28549.33,0.38,0.62,True
2025,S3_S4,east,S4,2025-07-26_S3_S4_b4053dcf,2025-07-26 08:45:00,2025-07-26 17:50:00,53225.00,9.08,5859.63,5457.49,8744.68,9393.56,3,True,3,23595.73,29629.27,False,29629.27,0.44,0.56,True
2025,S3_S4,east,S4,2025-08-08_S3_S4_7c793582,2025-08-08 13:14:00,2025-08-08 19:28:00,38750.00,6.23,6216.58,2049.22,6542.72,8396.34,3,True,3,16988.28,21761.72,False,21761.72,0.44,0.56,True
2025,S3_S4,east,S4,2025-08-22_S3_S4_1b405e4b,2025-08-22 09:07:00,2025-08-22 19:04:00,30625.00,9.95,3077.89,,9261.01,9242.48,2,False,2,,,False,,,,False
2025,S3_S4,east,S4,2025-09-20_S3_S4_f86ee2c5,2025-09-20 10:42:00,2025-09-20 17:31:00,86100.00,6.82,12630.81,3184.78,4537.57,7045.77,3,True,3,14768.11,71331.89,False,71331.89,0.17,0.83,True
2025,S3_S4,east,S4,2025-10-04_S3_S4_4439230e,2025-10-04 10:12:00,2025-10-04 17:06:00,51800.00,6.90,7507.25,2263.00,5788.06,8124.89,3,True,3,16175.95,35624.05,False,35624.05,0.31,0.69,True
2026,S1_S2,west,S1,2026-04-21_S1_S2_001c30f6,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,6169.76,9734.84,9013.88,9678.06,3,True,3,28426.78,82423.22,False,82423.22,0.26,0.74,True
