capacity_source,capacity_vwc,capacity_timestamp,event_id,year,strip,treatment,pair,logger_position,depth_index,depth_inches,sensor_col
precipitation,10.74,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S2,control,S1_S2,T,1,6.0,VWC_1_raw_S2_T
precipitation,12.65,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S2,control,S1_S2,B,2,12.0,VWC_2_raw_S2_B
precipitation,22.3,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S3,biochar,S3_S4,M,1,6.0,VWC_1_raw_S3_M
precipitation,23.24,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S3,biochar,S3_S4,M,2,12.0,VWC_2_raw_S3_M
precipitation,32.94,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S3,biochar,S3_S4,M,3,18.0,VWC_3_raw_S3_M
precipitation,19.29,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S3,biochar,S3_S4,B,1,6.0,VWC_1_raw_S3_B
precipitation,25.04,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S3,biochar,S3_S4,B,3,18.0,VWC_3_raw_S3_B
precipitation,25.48,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S4,control,S3_S4,T,1,6.0,VWC_1_raw_S4_T
precipitation,28.11,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S4,control,S3_S4,T,2,12.0,VWC_2_raw_S4_T
precipitation,31.03,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S4,control,S3_S4,T,3,18.0,VWC_3_raw_S4_T
precipitation,15.83,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S4,control,S3_S4,M,1,6.0,VWC_1_raw_S4_M
precipitation,37.67,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S4,control,S3_S4,M,3,18.0,VWC_3_raw_S4_M
precipitation,41.71,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B
precipitation,41.3,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S4,control,S3_S4,B,2,12.0,VWC_2_raw_S4_B
precipitation,41.09,2025-09-13 15:00:00.000000000,precip_20250912_1500_20250913_1500,2025.0,S4,control,S3_S4,B,3,18.0,VWC_3_raw_S4_B
precipitation,46.94,2025-09-28 20:45:00.000000000,precip_20250928_0515_20250928_2045,2025.0,S3,biochar,S3_S4,T,3,18.0,VWC_3_raw_S3_T
precipitation,35.82,2025-09-28 20:45:00.000000000,precip_20250928_0515_20250928_2045,2025.0,S4,control,S3_S4,B,1,6.0,VWC_1_raw_S4_B
precipitation,38.12,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S1,biochar,S1_S2,T,1,6.0,VWC_1_raw_S1_T
precipitation,34.28,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S1,biochar,S1_S2,T,2,12.0,VWC_2_raw_S1_T
precipitation,36.57,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S1,biochar,S1_S2,T,3,18.0,VWC_3_raw_S1_T
precipitation,33.35,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S1,biochar,S1_S2,M,1,6.0,VWC_1_raw_S1_M
precipitation,31.97,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S1,biochar,S1_S2,M,2,12.0,VWC_2_raw_S1_M
precipitation,38.85,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S1,biochar,S1_S2,M,3,18.0,VWC_3_raw_S1_M
precipitation,29.88,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S1,biochar,S1_S2,B,1,6.0,VWC_1_raw_S1_B
precipitation,32.3,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S1,biochar,S1_S2,B,2,12.0,VWC_2_raw_S1_B
precipitation,23.22,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B
precipitation,26.83,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S2,control,S1_S2,T,1,6.0,VWC_1_raw_S2_T
precipitation,32.78,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S2,control,S1_S2,T,2,12.0,VWC_2_raw_S2_T
precipitation,37.97,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S2,control,S1_S2,T,3,18.0,VWC_3_raw_S2_T
precipitation,32.46,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S2,control,S1_S2,M,1,6.0,VWC_1_raw_S2_M
precipitation,33.35,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S2,control,S1_S2,M,2,12.0,VWC_2_raw_S2_M
precipitation,38.06,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S2,control,S1_S2,M,3,18.0,VWC_3_raw_S2_M
precipitation,29.6,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S2,control,S1_S2,B,1,6.0,VWC_1_raw_S2_B
precipitation,28.32,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S2,control,S1_S2,B,2,12.0,VWC_2_raw_S2_B
precipitation,37.94,2025-10-14 10:30:00.000000000,precip_20251010_0245_20251014_1030,2025.0,S2,control,S1_S2,B,3,18.0,VWC_3_raw_S2_B
