logger_tag,year,file_path,file_kind,kind,severity,start,end,details,min_v,max_v,gap_minutes,voltage_col,plot_path
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-08 20:00:00,2023-07-09 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-09 19:45:00,2023-07-10 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-10 20:15:00,2023-07-11 08:00:00,S3M_Table1.dat,,,705.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-11 20:00:00,2023-07-12 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-12 20:00:00,2023-07-13 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-13 19:00:00,2023-07-14 08:00:00,S3M_Table1.dat,,,780.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-14 20:00:00,2023-07-15 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-15 19:45:00,2023-07-16 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-16 19:45:00,2023-07-17 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-17 19:45:00,2023-07-18 07:45:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-18 19:30:00,2023-07-19 08:00:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-19 19:45:00,2023-07-20 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-20 19:45:00,2023-07-21 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-21 19:45:00,2023-07-22 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-22 19:45:00,2023-07-23 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-23 20:00:00,2023-07-24 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-24 20:00:00,2023-07-25 08:00:00,S3M_Table1.dat,,,720.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-25 19:45:00,2023-07-26 08:00:00,S3M_Table1.dat,,,735.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-26 19:30:00,2023-07-27 08:00:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-27 19:30:00,2023-07-28 08:00:00,S3M_Table1.dat,,,750.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-28 18:45:00,2023-07-29 08:00:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-29 18:45:00,2023-07-30 08:00:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-30 19:00:00,2023-07-31 08:15:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-07-31 19:30:00,2023-08-01 08:30:00,S3M_Table1.dat,,,780.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-01 18:45:00,2023-08-02 08:00:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-02 16:15:00,2023-08-02 17:15:00,S3M_Table1.dat,,,60.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-02 18:30:00,2023-08-03 08:00:00,S3M_Table1.dat,,,810.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-03 18:15:00,2023-08-04 08:00:00,S3M_Table1.dat,,,825.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-04 18:45:00,2023-08-05 08:00:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-05 18:45:00,2023-08-06 08:00:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-06 18:45:00,2023-08-07 08:00:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-07 18:45:00,2023-08-08 08:00:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-08 18:45:00,2023-08-09 08:15:00,S3M_Table1.dat,,,810.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-09 18:45:00,2023-08-10 08:30:00,S3M_Table1.dat,,,825.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-10 18:30:00,2023-08-11 08:15:00,S3M_Table1.dat,,,825.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-11 18:45:00,2023-08-12 09:00:00,S3M_Table1.dat,,,855.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-12 18:30:00,2023-08-13 08:15:00,S3M_Table1.dat,,,825.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-13 18:45:00,2023-08-14 08:15:00,S3M_Table1.dat,,,810.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-14 19:00:00,2023-08-15 08:15:00,S3M_Table1.dat,,,795.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-15 18:45:00,2023-08-16 08:15:00,S3M_Table1.dat,,,810.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-16 18:45:00,2023-08-17 08:15:00,S3M_Table1.dat,,,810.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-17 18:30:00,2023-08-18 08:30:00,S3M_Table1.dat,,,840.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-18 18:30:00,2023-08-19 08:15:00,S3M_Table1.dat,,,825.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-19 19:30:00,2023-08-20 08:15:00,S3M_Table1.dat,,,765.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-20 19:30:00,2023-08-21 08:15:00,S3M_Table1.dat,,,765.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-21 19:30:00,2023-08-22 08:15:00,S3M_Table1.dat,,,765.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-22 19:00:00,2023-08-23 08:30:00,S3M_Table1.dat,,,810.0,,
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,main,gap,info,2023-08-23 19:15:00,2023-08-24 09:15:00,S3M_Table1.dat,,,840.0,,
