logger_tag,year,file,file_row_idx,prev_time,time,gap_min,event_type,event_class
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3919,2023-07-30 19:00:00,2023-07-31 08:15:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,3963,2023-07-31 19:30:00,2023-08-01 08:30:00,780.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4004,2023-08-01 18:45:00,2023-08-02 08:00:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4042,2023-08-02 18:30:00,2023-08-03 08:00:00,810.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4084,2023-08-03 18:15:00,2023-08-04 08:00:00,825.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4128,2023-08-04 18:45:00,2023-08-05 08:00:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4170,2023-08-05 18:45:00,2023-08-06 08:00:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4213,2023-08-06 18:45:00,2023-08-07 08:00:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4257,2023-08-07 18:45:00,2023-08-08 08:00:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4290,2023-08-08 16:00:00,2023-07-20 09:30:00,-27750.0,nonmonotonic,other
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4332,2023-07-20 19:45:00,2023-07-21 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4380,2023-07-21 19:45:00,2023-07-22 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4428,2023-07-22 19:45:00,2023-07-23 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4477,2023-07-23 20:00:00,2023-07-24 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4526,2023-07-24 20:00:00,2023-07-25 08:00:00,720.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4574,2023-07-25 19:45:00,2023-07-26 08:00:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4621,2023-07-26 19:30:00,2023-07-27 08:00:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4668,2023-07-27 19:30:00,2023-07-28 08:00:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4712,2023-07-28 18:45:00,2023-07-29 08:00:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4755,2023-07-29 18:45:00,2023-07-30 08:00:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4800,2023-07-30 19:00:00,2023-07-31 08:15:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4844,2023-07-31 19:30:00,2023-08-01 08:30:00,780.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4885,2023-08-01 18:45:00,2023-08-02 08:00:00,795.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4923,2023-08-02 18:30:00,2023-08-03 08:00:00,810.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,4965,2023-08-03 18:15:00,2023-08-04 08:00:00,825.0,downtime_gap,downtime
