year,strip,event_id,logger_position,irrigation_start,irrigation_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,alt_arrival_minutes_after_irrigation_start_6in,alt_arrival_minutes_after_irrigation_start_12in,alt_arrival_minutes_after_irrigation_start_18in,alt_arrival_vwc_6in,alt_arrival_vwc_12in,alt_arrival_vwc_18in,arrival_minutes_after_irrigation_start_6in,arrival_minutes_after_irrigation_start_12in,arrival_minutes_after_irrigation_start_18in,arrival_vwc_6in,arrival_vwc_12in,arrival_vwc_18in,peak_vwc_6in,peak_vwc_12in,peak_vwc_18in,pre_vwc_6in,pre_vwc_12in,pre_vwc_18in,pre_profile_vwc_mean,pre_profile_vwc_min,pre_profile_vwc_max,delta_vwc_6in,delta_vwc_12in,delta_vwc_18in,delta_profile_vwc_mean,first_arrival_min,last_arrival_min,vertical_spread_min,distance_from_furrow_start_ft,vertical_velocity_6_to_12_in_per_min,vertical_velocity_12_to_18_in_per_min,vertical_velocity_6_to_18_in_per_min
2024.00,S4,2024-06-15_S3_S4_b6aa9839,T,2024-06-15 07:29:00,2024-06-15 16:13:00,8.73,52500.00,6011.45,31.0,31.0,31.0,28.84,30.20,34.36,31.0,31.0,31.0,28.84,30.20,34.36,41.15,39.11,39.84,9.43,14.70,25.58,16.57,9.43,25.58,31.72,24.41,14.26,23.46,31.0,31.0,0.0,54.00,,,
2024.00,S1,2024-06-22_S1_S2_e95bd875,B,2024-06-22 08:00:00,2024-06-22 15:49:00,7.82,47100.00,6025.59,540.0,555.0,480.0,27.50,28.49,32.60,210.0,375.0,510.0,26.71,26.07,32.92,50.61,53.58,43.50,26.20,25.73,32.46,28.13,25.73,32.46,24.40,27.85,11.05,21.10,210.0,510.0,300.0,284.00,0.04,0.04,0.04
2024.00,S1,2024-06-22_S1_S2_e95bd875,M,2024-06-22 08:00:00,2024-06-22 15:49:00,7.82,47100.00,6025.59,135.0,240.0,285.0,13.58,18.23,33.91,120.0,240.0,285.0,12.68,18.23,33.91,41.23,37.18,40.30,12.37,17.01,33.13,20.84,12.37,33.13,28.86,20.17,7.17,18.73,120.0,285.0,165.0,169.00,0.05,0.13,0.07
2024.00,S1,2024-06-22_S1_S2_e95bd875,T,2024-06-22 08:00:00,2024-06-22 15:49:00,7.82,47100.00,6025.59,30.0,30.0,30.0,22.98,27.21,37.74,30.0,30.0,30.0,22.98,27.21,37.74,43.07,42.44,45.71,18.10,17.00,23.95,19.68,17.00,23.95,24.97,25.44,21.76,24.06,30.0,30.0,0.0,54.00,,,
2024.00,S2,2024-06-22_S1_S2_e95bd875,B,2024-06-22 08:00:00,2024-06-22 15:49:00,7.82,47100.00,6025.59,225.0,180.0,195.0,9.90,8.57,9.63,210.0,180.0,195.0,9.01,8.57,9.63,37.09,34.68,39.69,8.71,6.99,6.80,7.50,6.80,8.71,28.38,27.70,32.88,29.65,180.0,210.0,30.0,284.00,,0.40,
2024.00,S2,2024-06-22_S1_S2_e95bd875,M,2024-06-22 08:00:00,2024-06-22 15:49:00,7.82,47100.00,6025.59,60.0,75.0,75.0,13.87,22.49,31.61,60.0,75.0,75.0,13.87,22.49,31.61,39.68,37.95,41.31,12.77,12.53,24.26,16.52,12.53,24.26,26.91,25.42,17.05,23.13,60.0,75.0,15.0,169.00,0.40,,0.80
2024.00,S2,2024-06-22_S1_S2_e95bd875,T,2024-06-22 08:00:00,2024-06-22 15:49:00,7.82,47100.00,6025.59,75.0,75.0,75.0,14.45,19.44,19.71,75.0,75.0,75.0,14.45,19.44,19.71,48.74,42.88,38.64,10.02,16.48,18.55,15.02,10.02,18.55,38.72,26.40,20.09,28.40,75.0,75.0,0.0,54.00,,,
2024.00,S3,2024-06-28_S3_S4_14b9d993,B,2024-06-28 08:19:00,2024-06-28 14:44:00,6.42,39650.00,6179.22,86.0,86.0,101.0,26.49,24.97,18.19,86.0,86.0,101.0,26.49,24.97,18.19,35.26,33.18,28.00,19.31,24.25,14.94,19.50,14.94,24.25,15.94,8.93,13.06,12.65,86.0,101.0,15.0,284.00,,0.40,0.80
2024.00,S3,2024-06-28_S3_S4_14b9d993,M,2024-06-28 08:19:00,2024-06-28 14:44:00,6.42,39650.00,6179.22,521.0,521.0,536.0,24.09,32.59,33.77,521.0,506.0,521.0,24.09,22.24,28.84,43.82,37.54,39.71,16.65,21.98,28.46,22.36,16.65,28.46,27.16,15.56,11.25,17.99,506.0,521.0,15.0,169.00,,0.40,
2024.00,S3,2024-06-28_S3_S4_14b9d993,T,2024-06-28 08:19:00,2024-06-28 14:44:00,6.42,39650.00,6179.22,86.0,86.0,131.0,23.02,28.26,36.69,71.0,86.0,116.0,15.55,28.26,36.06,40.96,38.70,47.26,15.25,26.76,35.70,25.90,15.25,35.70,25.71,11.94,11.57,16.40,71.0,116.0,45.0,54.00,0.40,0.20,0.27
2024.00,S4,2024-06-28_S3_S4_14b9d993,B,2024-06-28 08:19:00,2024-06-28 14:44:00,6.42,39650.00,6179.22,266.0,356.0,236.0,14.11,38.69,33.61,266.0,356.0,251.0,14.11,38.69,33.63,28.57,40.21,38.54,12.44,36.27,32.79,27.17,12.44,36.27,16.13,3.94,5.75,8.61,251.0,356.0,105.0,284.00,0.07,,
2024.00,S4,2024-06-28_S3_S4_14b9d993,M,2024-06-28 08:19:00,2024-06-28 14:44:00,6.42,39650.00,6179.22,176.0,221.0,251.0,16.85,23.82,32.44,176.0,221.0,251.0,16.85,23.82,32.44,38.56,34.94,34.24,16.18,19.83,27.03,21.01,16.18,27.03,22.38,15.11,7.21,14.90,176.0,251.0,75.0,169.00,0.13,0.20,0.16
2024.00,S4,2024-06-28_S3_S4_14b9d993,T,2024-06-28 08:19:00,2024-06-28 14:44:00,6.42,39650.00,6179.22,26.0,26.0,26.0,17.19,21.24,32.12,26.0,26.0,26.0,17.19,21.24,32.12,43.13,40.25,40.84,12.46,17.19,28.17,19.27,12.46,28.17,30.68,23.05,12.68,22.14,26.0,26.0,0.0,54.00,,,
2024.00,S3,2024-07-11_S3_S4_d29231ea,B,2024-07-11 10:01:00,2024-07-11 17:39:00,7.63,46550.00,6098.25,104.0,134.0,134.0,15.80,21.43,15.39,104.0,134.0,134.0,15.80,21.43,15.39,35.39,32.63,26.39,12.56,18.76,13.77,15.03,12.56,18.76,22.83,13.87,12.62,16.44,104.0,134.0,30.0,284.00,0.20,,0.40
2024.00,S3,2024-07-11_S3_S4_d29231ea,M,2024-07-11 10:01:00,2024-07-11 17:39:00,7.63,46550.00,6098.25,479.0,479.0,479.0,27.09,33.89,27.75,479.0,479.0,479.0,27.09,33.89,27.75,43.01,36.93,38.20,12.88,18.45,25.72,19.02,12.88,25.72,30.13,18.49,12.48,20.36,479.0,479.0,0.0,169.00,,,
