year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,baseline_vwc,arrival_threshold_vwc,arrival_time,arrival_vwc,arrival_minutes_after_irrigation_start,arrival_before_irrigation_start,gallons_strip,event_duration_hours,alt_arrival_threshold_vwc,alt_arrival_time,alt_arrival_vwc,alt_arrival_step_vwc,alt_arrival_minutes_after_irrigation_start,alt_arrival_before_irrigation_start
2026,S1_S2,west,S2,2026-06-20_S1_S2_9166ff27,VWC_1_raw_S2_T,1,6,T,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,8.624,0.25,2026-06-20 08:00:00,46.797,0.0,False,65700.0,9.05,0.5,2026-06-20 07:30:00,23.006,14.382,-30.0,True
2026,S1_S2,west,S2,2026-06-20_S1_S2_9166ff27,VWC_2_raw_S2_T,2,12,T,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,16.696,0.25,,,,,65700.0,9.05,0.5,2026-06-20 07:30:00,28.944,12.245,-30.0,True
2026,S1_S2,west,S2,2026-06-20_S1_S2_9166ff27,VWC_3_raw_S2_T,3,18,T,2026-06-20 08:00:00,2026-06-20 17:03:00,2026-06-19 20:00:00,2026-06-21 14:00:00,31.756,0.25,,,,,65700.0,9.05,0.5,2026-06-20 07:30:00,34.721,2.962,-30.0,True
2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_1_raw_S3_B,1,6,B,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,34.084,0.25,,,,,110850.0,17.967,0.5,2026-04-21 12:45:00,20.091,8.966,-129.0,True
2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_2_raw_S3_B,2,12,B,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,24.884,0.25,2026-04-21 15:00:00,31.424,6.0,False,110850.0,17.967,0.5,2026-04-21 13:00:00,18.601,6.65,-114.0,True
2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_3_raw_S3_B,3,18,B,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,26.734,0.25,,,,,110850.0,17.967,0.5,2026-04-21 13:15:00,15.269,5.969,-99.0,True
2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_1_raw_S3_M,1,6,M,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,41.394,0.25,,,,,110850.0,17.967,0.5,2026-04-21 09:45:00,17.279,3.041,-309.0,True
2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_2_raw_S3_M,2,12,M,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,37.451,0.25,,,,,110850.0,17.967,0.5,2026-04-21 09:45:00,22.74,3.461,-309.0,True
2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_3_raw_S3_M,3,18,M,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,38.87,0.25,,,,,110850.0,17.967,0.5,2026-04-21 10:00:00,34.741,14.452,-294.0,True
2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_1_raw_S3_T,1,6,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,18.45,0.25,2026-04-21 16:45:00,18.759,111.0,False,110850.0,17.967,0.5,2026-04-21 17:30:00,20.017,1.043,156.0,False
2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_2_raw_S3_T,2,12,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,25.154,0.25,2026-04-21 20:30:00,26.11,336.0,False,110850.0,17.967,0.5,2026-04-21 21:30:00,28.359,1.533,396.0,False
2026,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_3_raw_S3_T,3,18,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,42.624,0.25,2026-04-22 00:30:00,42.885,576.0,False,110850.0,17.967,0.5,2026-04-22 02:45:00,45.741,0.509,711.0,False
2026,S3_S4,east,S4,2026-04-21_S3_S4_18bfec4f,VWC_1_raw_S4_B,1,6,B,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,23.194,0.25,2026-04-21 22:45:00,27.569,471.0,False,110850.0,17.967,0.5,2026-04-21 22:15:00,18.566,0.708,441.0,False
